Plot,Flower Total Fresh_g,Flower Total Dried_g,die back,Harvest Date,variety,treatment,row,block,%CBDA,%CBDA as CBD,%THCA,%THCA as THC,Ratio
1,1435,378.9666176,90%,10/7/21,Berry Blossom,N+,1,1,7.695331135,6.748805405,0.241291594,0.211612728,31.8922471
2,4595,1031.982941,90%,10/5/21,Tahoe Cinco,N+,1,1,15.69069954,13.7607435,0.569122951,0.499120828,27.56996448
3,1620,401.0806452,90%,10/7/21,Red Bordeaux,N+,1,1,13.02931992,11.42671357,0.457561941,0.401281822,28.47553252
4,1170,278.1257143,90%,10/5/21,Tahoe Cinco,Control,2,1,13.54241237,11.87669565,0.502706047,0.440873203,26.93902817
5,490,130.1685,90%,10/7/21,Berry Blossom,Control,2,1,11.36628832,9.968234854,0.381836234,0.334870377,29.76744298
6,845,219.406087,90%,10/7/21,Red Bordeaux,Control,2,1,10.6839167,9.369794945,0.33807991,0.296496081,31.60174969
7,1445,384.0657895,90%,10/7/21,Red Bordeaux,N+,3,2,12.13711795,10.64425244,0.396897866,0.348079429,30.57995261
8,2015,567.924697,90%,10/7/21,Berry Blossom,N+,3,2,12.17508893,10.67755299,0.422430673,0.3704717,28.82150777
9,2475,568.7404412,90%,10/5/21,Tahoe Cinco,N+,3,2,16.01793387,14.04772801,0.525614964,0.460964324,30.47465344
10,660,167.475,90%,10/5/21,Tahoe Cinco,Control,4,2,13.77130283,12.07743258,0.444223864,0.389584329,31.00081725
11,785,232.6426,90%,10/7/21,Red Bordeaux,Control,4,2,6.831752391,5.991446847,0.205127941,0.179897204,33.30483584
12,1240,342.55,90%,10/7/21,Berry Blossom,Control,4,2,15.36476072,13.47489515,0.569823501,0.49973521,26.96406993
13,3300,756.2242991,90%,10/5/21,Tahoe Cinco,N+,5,3,15.69706336,13.76632457,0.533500469,0.467879912,29.42277329
14,2630,716.675,90%,10/7/21,Berry Blossom,N+,5,3,11.90946489,10.44460071,0.433480265,0.380162192,27.47406481
15,1530,393.9503226,90%,10/7/21,Red Bordeaux,N+,5,3,11.5615635,10.13949119,0.375480471,0.329296373,30.79138438
16,1875,499.5905172,90%,10/7/21,Berry Blossom,Control,6,3,13.13946593,11.52331162,0.421848438,0.36996108,31.14736181
17,1230,327.6236066,90%,10/7/21,Red Bordeaux,Control,6,3,11.85091408,10.39325165,0.380056106,0.333309205,31.18201207
18,1615,373.5725714,90%,10/5/21,Tahoe Cinco,Control,6,3,12.95844909,11.36455985,0.464323114,0.407211371,27.90825761
19,2190,527.9622472,90%,10/5/21,Tahoe Cinco,N+,7,4,15.98546143,14.01924968,0.589559684,0.517043843,27.11423775
20,1840,494.5575,90%,10/7/21,Berry Blossom,N+,7,4,12.62744247,11.07426705,0.435398613,0.381844584,29.00202733
21,1435,347.0457813,90%,10/7/21,Red Bordeaux,N+,7,4,10.8591459,9.52347095,0.349502977,0.306514111,31.07025291
22,1390,350.5374074,90%,10/7/21,Berry Blossom,Control,8,4,12.58939851,11.04090249,0.416005942,0.364837211,30.26254493
23,1450,394.4467742,90%,10/7/21,Red Bordeaux,Control,8,4,13.81819742,12.11855914,0.487440038,0.427484913,28.3485072
24,550,134.9754098,90%,10/5/21,Tahoe Cinco,Control,8,4,15.08246818,13.2273246,0.575840679,0.505012276,26.19208528