Date,Plant Number,Variety ,Block,Treatment ,delta 15 N,perc Nitrogen,delta 13 C,perc Carbon
8/9/2021,1,Berry Blossom,1,N+,6.2,4.97,-26.1,43.7
8/9/2021,2,Berry Blossom,1,N+,7.7,4.94,-26.1,43.5
8/9/2021,3,Tahoe,1,N+,8.3,5.18,-25.5,44.0
8/9/2021,4,Tahoe,1,N+,8.8,4.92,-26.3,42.9
8/9/2021,5,Red Bordeaux,1,N+,10.3,5.40,-24.4,44.4
8/9/2021,6,Red Bordeaux,1,N+,9.6,5.06,-25.3,44.1
8/9/2021,7,Tahoe,1,Control,10.9,4.82,-26.5,43.4
8/9/2021,8,Tahoe,1,Control,13.8,5.43,-25.0,45.5
8/9/2021,9,Berry Blossom,1,Control,10.8,3.73,-29.9,43.0
8/9/2021,10,Berry Blossom,1,Control,10.0,3.51,-28.1,41.0
8/9/2021,11,Red Bordeaux,1,Control,9.3,4.70,-26.1,42.2
8/9/2021,12,Red Bordeaux,1,Control,7.2,3.55,-27.5,40.4
8/9/2021,13,Red Bordeaux,2,N+,7.9,5.32,-26.1,43.8
8/9/2021,14,Red Bordeaux,2,N+,6.2,5.22,-25.1,45.0
8/9/2021,15,Berry Blossom,2,N+,11.8,5.04,-25.6,44.8
8/9/2021,16,Berry Blossom,2,N+,6.6,5.05,-25.7,44.4
8/9/2021,17,Tahoe,2,N+,4.5,5.57,-25.9,44.4
8/9/2021,18,Tahoe,2,N+,4.1,5.33,-24.8,46.0
8/9/2021,19,Tahoe,2,Control,6.6,4.28,-24.7,45.9
8/9/2021,20,Tahoe,2,Control,6.6,4.74,-26.0,46.4
8/9/2021,21,Red Bordeaux,2,Control,12.8,4.58,-26.4,45.2
8/9/2021,22,Red Bordeaux,2,Control,10.5,4.74,-25.0,45.6
8/9/2021,23,Berry Blossom,2,Control,10.1,4.61,-26.5,44.3
8/9/2021,24,Berry Blossom,2,Control,10.5,4.86,-26.2,45.5
8/9/2021,25,Tahoe,3,N+,7.1,5.81,-25.6,46.0
8/9/2021,26,Tahoe,3,N+,10.0,5.72,-25.1,45.6
8/9/2021,27,Berry Blossom,3,N+,9.4,5.48,-25.8,46.1
8/9/2021,28,Berry Blossom,3,N+,10.8,5.73,-25.0,46.1
8/9/2021,29,Red Bordeaux,3,N+,6.4,5.86,-24.8,47.6
8/9/2021,30,Red Bordeaux,3,N+,11.2,5.71,-25.1,47.1
8/9/2021,31,Berry Blossom,3,Control,14.9,4.11,-26.2,45.7
8/9/2021,32,Berry Blossom,3,Control,16.6,5.66,-28.1,45.8
8/9/2021,33,Red Bordeaux,3,Control,16.3,4.68,-25.8,44.1
8/9/2021,34,Red Bordeaux,3,Control,15.7,5.05,-26.3,46.3
8/9/2021,35,Tahoe,3,Control,11.4,4.68,-26.5,46.2
8/9/2021,36,Tahoe,3,Control,12.9,4.93,-26.2,45.4
8/9/2021,37,Tahoe,4,N+,10.0,5.22,-24.8,46.6
8/9/2021,38,Tahoe,4,N+,11.2,5.75,-25.1,46.7
8/9/2021,39,Berry Blossom,4,N+,11.4,5.94,-25.2,47.2
8/9/2021,40,Berry Blossom,4,N+,8.1,6.17,-27.5,46.9
8/9/2021,41,Red Bordeaux,4,N+,6.3,5.71,-24.8,47.2
8/9/2021,42,Red Bordeaux,4,N+,5.2,5.62,-27.3,45.1
8/9/2021,43,Berry Blossom,4,Control,8.9,4.72,-26.9,43.5
8/9/2021,44,Berry Blossom,4,Control,10.3,4.50,-29.4,44.7
8/9/2021,45,Red Bordeaux,4,Control,14.0,5.22,-25.3,46.2
8/9/2021,46,Red Bordeaux,4,Control,18.6,5.13,-25.7,47.1
8/9/2021,47,Tahoe,4,Control,9.5,4.62,-25.4,46.4
8/9/2021,48,Tahoe,4,Control,11.4,5.35,-24.8,47.1
8/19/2021,1,Berry Blossom,1,N+,6.7,5.06,-25.0,45.7
8/19/2021,2,Berry Blossom,1,N+,6.6,5.50,-25.0,46.3
8/19/2021,3,Tahoe,1,N+,8.1,4.89,-24.7,46.2
8/19/2021,4,Tahoe,1,N+,6.0,4.68,-25.1,44.7
8/19/2021,5,Red Bordeaux,1,N+,9.3,5.21,-24.0,47.3
8/19/2021,6,Red Bordeaux,1,N+,8.6,5.69,-24.2,47.0
8/19/2021,7,Tahoe,1,Control,10.6,5.21,-25.5,46.4
8/19/2021,8,Tahoe,1,Control,15.5,4.87,-24.6,46.2
8/19/2021,9,Berry Blossom,1,Control,9.0,4.68,-29.3,45.9
8/19/2021,10,Berry Blossom,1,Control,9.3,4.13,-26.9,43.7
8/19/2021,11,Red Bordeaux,1,Control,9.8,4.62,-25.7,46.0
8/19/2021,12,Red Bordeaux,1,Control,8.4,4.37,-26.8,44.8
8/19/2021,13,Red Bordeaux,2,N+,7.8,5.36,-25.8,45.4
8/19/2021,14,Red Bordeaux,2,N+,7.6,6.12,-24.4,46.8
8/19/2021,15,Berry Blossom,2,N+,9.5,4.85,-26.0,44.5
8/19/2021,16,Berry Blossom,2,N+,7.5,5.35,-26.1,44.9
8/19/2021,17,Tahoe,2,N+,6.4,5.66,-25.5,45.7
8/19/2021,18,Tahoe,2,N+,6.2,5.49,-24.5,46.5
8/19/2021,19,Tahoe,2,Control,6.6,4.30,-24.5,46.3
8/19/2021,20,Tahoe,2,Control,6.8,4.75,-25.0,46.3
8/19/2021,21,Red Bordeaux,2,Control,13.0,4.02,-26.9,44.8
8/19/2021,22,Red Bordeaux,2,Control,11.2,4.28,-25.9,46.5
8/19/2021,23,Berry Blossom,2,Control,10.8,4.81,-26.7,45.0
8/19/2021,24,Berry Blossom,2,Control,10.6,4.11,-26.4,45.3
8/19/2021,25,Tahoe,3,N+,6.3,5.85,-25.8,46.3
8/19/2021,26,Tahoe,3,N+,9.1,5.27,-25.0,45.1
8/19/2021,27,Berry Blossom,3,N+,8.1,5.32,-25.5,44.9
8/19/2021,28,Berry Blossom,3,N+,6.8,4.97,-25.4,44.4
8/19/2021,29,Red Bordeaux,3,N+,5.7,5.24,-24.7,45.5
8/19/2021,30,Red Bordeaux,3,N+,7.0,4.85,-25.1,44.5
8/19/2021,31,Berry Blossom,3,Control,15.6,4.11,-25.8,43.6
8/19/2021,32,Berry Blossom,3,Control,16.0,4.62,-28.7,43.4
8/19/2021,33,Red Bordeaux,3,Control,10.6,4.59,-25.5,43.9
8/19/2021,34,Red Bordeaux,3,Control,14.3,4.07,-26.2,43.1
8/19/2021,35,Tahoe,3,Control,10.9,4.25,-26.8,44.5
8/19/2021,36,Tahoe,3,Control,12.8,4.43,-25.6,44.1
8/19/2021,37,Tahoe,4,N+,9.5,5.54,-25.2,45.1
8/19/2021,38,Tahoe,4,N+,12.5,4.83,-24.2,44.8
8/19/2021,39,Berry Blossom,4,N+,9.1,5.00,-25.3,45.3
8/19/2021,40,Berry Blossom,4,N+,7.9,6.00,-27.9,44.1
8/19/2021,41,Red Bordeaux,4,N+,5.7,5.36,-24.5,46.1
8/19/2021,42,Red Bordeaux,4,N+,4.8,5.20,-26.6,43.9
8/19/2021,43,Berry Blossom,4,Control,9.7,5.13,-26.5,43.8
8/19/2021,44,Berry Blossom,4,Control,10.9,4.89,-29.2,42.4
8/19/2021,45,Red Bordeaux,4,Control,11.5,4.98,-24.8,45.7
8/19/2021,46,Red Bordeaux,4,Control,16.6,4.29,-26.4,45.3
8/19/2021,47,Tahoe,4,Control,9.6,4.05,-25.5,46.3
8/19/2021,48,Tahoe,4,Control,10.5,5.25,-24.8,45.0
9/3/2021,1,Berry Blossom,1,N+,7.4,3.50,-24.6,45.9
9/3/2021,2,Berry Blossom,1,N+,7.8,3.85,-24.8,46.0
9/3/2021,3,Tahoe,1,N+,7.0,2.89,-24.6,44.3
9/3/2021,4,Tahoe,1,N+,5.7,3.70,-25.2,43.2
9/3/2021,5,Red Bordeaux,1,N+,8.7,3.33,-23.7,46.4
9/3/2021,6,Red Bordeaux,1,N+,8.8,3.55,-24.0,45.5
9/3/2021,7,Tahoe,1,Control,10.4,4.26,-25.0,45.6
9/3/2021,8,Tahoe,1,Control,13.5,3.96,-24.2,45.4
9/3/2021,9,Berry Blossom,1,Control,9.3,4.32,-28.5,45.1
9/3/2021,10,Berry Blossom,1,Control,8.7,3.60,-25.9,44.0
9/3/2021,11,Red Bordeaux,1,Control,10.6,4.03,-24.7,45.7
9/3/2021,12,Red Bordeaux,1,Control,9.4,3.35,-26.2,45.0
9/3/2021,13,Red Bordeaux,2,N+,12.0,3.59,-25.1,44.9
9/3/2021,14,Red Bordeaux,2,N+,8.3,4.25,-24.3,46.4
9/3/2021,15,Berry Blossom,2,N+,9.9,3.83,-25.3,46.0
9/3/2021,16,Berry Blossom,2,N+,9.9,4.23,-25.3,44.9
9/3/2021,17,Tahoe,2,N+,8.0,4.59,-24.9,44.0
9/3/2021,18,Tahoe,2,N+,7.7,4.71,-24.3,45.9
9/3/2021,19,Tahoe,2,Control,7.5,3.39,-24.6,43.0
9/3/2021,20,Tahoe,2,Control,8.3,4.49,-24.0,46.5
9/3/2021,21,Red Bordeaux,2,Control,11.3,2.99,-26.9,44.3
9/3/2021,22,Red Bordeaux,2,Control,11.0,2.80,-25.8,45.5
9/3/2021,23,Berry Blossom,2,Control,10.8,3.34,-25.7,44.3
9/3/2021,24,Berry Blossom,2,Control,10.3,3.29,-26.4,45.3
9/3/2021,25,Tahoe,3,N+,7.0,3.69,-25.6,44.1
9/3/2021,26,Tahoe,3,N+,7.9,4.20,-25.1,44.1
9/3/2021,27,Berry Blossom,3,N+,9.3,3.40,-25.7,46.3
9/3/2021,28,Berry Blossom,3,N+,8.0,3.00,-25.0,46.0
9/3/2021,29,Red Bordeaux,3,N+,5.4,3.22,-24.3,46.5
9/3/2021,30,Red Bordeaux,3,N+,8.3,3.70,-24.8,47.6
9/3/2021,31,Berry Blossom,3,Control,14.2,3.73,-25.4,45.6
9/3/2021,32,Berry Blossom,3,Control,15.4,3.03,-28.4,45.4
9/3/2021,33,Red Bordeaux,3,Control,12.2,2.79,-25.1,44.0
9/3/2021,34,Red Bordeaux,3,Control,11.7,2.68,-26.3,46.3
9/3/2021,35,Tahoe,3,Control,12.2,4.03,-25.6,45.1
9/3/2021,36,Tahoe,3,Control,12.2,3.91,-25.8,45.7
9/3/2021,37,Tahoe,4,N+,10.1,3.99,-24.6,44.8
9/3/2021,38,Tahoe,4,N+,11.5,4.39,-24.7,46.1
9/3/2021,39,Berry Blossom,4,N+,9.3,3.85,-25.4,46.5
9/3/2021,40,Berry Blossom,4,N+,7.5,4.63,-27.3,46.4
9/3/2021,41,Red Bordeaux,4,N+,7.4,3.86,-25.2,47.2
9/3/2021,42,Red Bordeaux,4,N+,7.1,2.96,-25.9,45.4
9/3/2021,43,Berry Blossom,4,Control,11.6,4.97,-25.7,46.2
9/3/2021,44,Berry Blossom,4,Control,11.3,3.80,-29.0,42.9
9/3/2021,45,Red Bordeaux,4,Control,11.7,4.19,-25.0,45.9
9/3/2021,46,Red Bordeaux,4,Control,14.3,3.46,-26.5,45.4
9/3/2021,47,Tahoe,4,Control,10.3,3.69,-25.4,46.1
9/3/2021,48,Tahoe,4,Control,11.3,4.48,-24.6,46.9
